Cnode ID, Thread ID,CYCLES_NOT_IN_HALT,RETIRED_INSTRUCTIONS,perf::PERF_COUNT_HW_CACHE_L1D:MISS,perf::PERF_COUNT_HW_CACHE_L1D:ACCESS,execution,mpi,comp,regionName,iteration
4,70,1003236430,1107780776,15900759,432412735,0.397083,0.397083,0.0,mpi_irecv,0
4,71,669914619,715974347,11752346,283096099,0.268831,0.268831,0.0,mpi_irecv,0
4,72,740200980,714518320,11217468,281807896,0.296187,0.296187,0.0,mpi_irecv,0
4,73,1107608948,1107754589,14882599,429744473,0.437256,0.437256,0.0,mpi_irecv,0
4,74,1060718523,1106850791,14328753,433391390,0.418331,0.418331,0.0,mpi_irecv,0
4,75,1058044220,1104016709,15405115,430354757,0.417347,0.417347,0.0,mpi_irecv,0
4,76,1012146182,1105394000,15157930,431871985,0.40339,0.40339,0.0,mpi_irecv,0
4,77,1120893839,1111294997,14827218,434427249,0.443373,0.443373,0.0,mpi_irecv,0
4,78,1107574504,1114999688,14429831,436154578,0.435873,0.435873,0.0,mpi_irecv,0
4,79,1053937807,1109536329,16330093,432915057,0.414511,0.414511,0.0,mpi_irecv,0
4,80,971235595,1108745300,15375333,433391094,0.380915,0.380915,0.0,mpi_irecv,0
4,81,1042979269,1101865553,17433389,432706377,0.412434,0.412434,0.0,mpi_irecv,0
4,82,995439930,1108402410,16713919,432736615,0.392378,0.392378,0.0,mpi_irecv,0
4,83,675819631,714822600,11071410,280187408,0.271781,0.271781,0.0,mpi_irecv,0
4,84,582259217,455023738,9367797,185486926,0.240641,0.240641,0.0,mpi_irecv,0
4,85,800537421,716927286,9795034,282763986,0.321978,0.321978,0.0,mpi_irecv,0
4,86,776795644,715102009,10624337,280409832,0.309999,0.309999,0.0,mpi_irecv,0
4,87,730760383,715067790,10539898,281845369,0.292946,0.292946,0.0,mpi_irecv,0
4,88,737315905,718557326,10618797,284528429,0.292908,0.292908,0.0,mpi_irecv,0
4,89,798784574,717776572,11832190,280667240,0.321773,0.321773,0.0,mpi_irecv,0
4,90,790927721,717475061,10418405,283518465,0.31458,0.31458,0.0,mpi_irecv,0
4,91,751998403,718947235,10716276,282845059,0.302132,0.302132,0.0,mpi_irecv,0
4,92,802851187,715920213,10959023,282258506,0.320341,0.320341,0.0,mpi_irecv,0
4,93,832228899,712020877,10577028,281736816,0.336047,0.336047,0.0,mpi_irecv,0
4,94,832058706,717123658,11251003,281276728,0.336354,0.336354,0.0,mpi_irecv,0
